;;;;;;;;;;;
;B19UDLAB1;B19UDLBB1;B19UDLEB2;B19UDLGAR01;B19UDLGAR03;B19UDLINK01;B19UDLKB1;B19UDLPKB1;B19UDLPVPB1;B19UDLSB1;B19UDLVPB1
;B19UNKAU50;B19UNSKR50;B19UPANT01G;B19VALUFAST01;B19VALUKK01;B19VALUKK02;B19VALUVARI01;B19VALUVARI01OLD;B19VBPRIB11;B19WEB01;B19WEB01F
;B19WEB02;B19WEB02XXDU;B19WEB03;B19WEB03F;B19WEB05;B19WEB05F;B19WEB06;B19WEB20;B19WEB81;B19WEBBIL81;B20ALD04
;B20ALD10;B20ALM50;B20ANDEL05;B20BEGUN01;B20BIL02B;B20BOET05;B20BOKS01;B20BOKS03;B20BOKS04;B20BOKS05;B20BOKS06
;B20BOLIG04;B20BOLIG04EVA;B20BOLIG09;B20BOLIG13;B20BOLIG15;B20BOLIG27;B20BOLIG29;B20BS51;B20BYG01;B20BYG01EVA;B20BYG01GL
;B20BYG02;B20BYG03;B20BØRN01;B20BØRN02;B20BØRN04;B20BØRN51;B20BØRNEP01;B20BØRNEP02;B20CHE07;B20CHE07EVA;B20CHE11
;B20DEP02A;B20DEP02C;B20DEPOT04GL;B20DEPOT05;B20DEPOT08GL;B20DEPOT10;B20DEPOT13;B20DEPOT16;B20DEPOT17;B20EALM50;B20EBOKS01D
;B20EBOKS20;B20EJERP01A;B20EJERP01B;B20EJERP01C;B20EJERP02A;B20EJERP02B;B20EJERP02C;B20EJERP03A;B20EJERP03B;B20EJERP04A;B20EJERP04B
;B20EJERVIRKA;B20EKAU50;B20EKAU51;B20ELTING01A;B20ELTING60EVA;B20ERH03GL;B20ERH04;B20ESIS50;B20FI03;B20FI03Å;B20FI04
;B20FUL02;B20GAR01;B20GAR01DU;B20GAR02;B20GAR03;B20GAR03EVA;B20GAR04;B20GAR07;B20GAR08;B20GAR12;B20GAR13
;B20GAR13GL;B20GAR14;B20GAR15;B20GAR16;B20GAR17;B20GAR18;B20GAR19;B20GAR50;B20GAR51;B20GAR52;B20GAR53
;B20GAR54;B20GAR55;B20GAR60;B20GAR60GL;B20GAR75;B20GAR76;B20HVID04EVA;B20HVID04GL;B20HVID05EVA;B20HVID05GL;B20HVID06EVA
;B20HVID06GL;B20HVID07EVA;B20HVID07GL;B20HVID11EVA;B20HVID11GL;B20HVID12EVA;B20HVID12GL;B20HVID13EVA;B20HVID13GL;B20HVID15EVA;B20HVID15GL
;B20HVID16;B20HVID17EVA;B20HVID17GL;B20HVID18;B20HVID20EVA;B20HVID20GL;B20HVID21;B20HVID22EVA;B20HVID22GL;B20HVID23EVA;B20HVID23GL
;B20HVID24EVA;B20HVID24GL;B20HVID25EVA;B20HVID25GL;B20HVID27;B20HVID29;B20HVID30;B20HÅND50;B20HÅND50EVA;B20HÅND53;B20INDEKS02
;B20INDEKS03;B20INDEKS05;B20INDEKS07;B20INDEKS07GL;B20INDSKGAR;B20INK01;B20INK02;B20INK03;B20INK06;B20INK07;B20INT05
;B20INT06;B20INT07;B20INT08;B20INT09;B20INV08;B20INV09;B20INV10;B20INV11;B20INV12;B20INV13;B20JUR04
;B20JUR04EB;B20JUR04GL;B20JUR04MB;B20JUR05;B20JUR06GL;B20KAP05;B20KAP07GL;B20KAU09GL;B20KAU50;B20KAU51;B20KOPL50
;B20KORT22GL;B20KORT30GL;B20KORT31GL;B20KORT33GL;B20KORT34GL;B20KORT35GL;B20KORT43GL;B20KRED50;B20KTBEST01;B20KTO01;B20KTO11
;B20KUN01;B20KUN01DU;B20KUN01GL;B20KUN02;B20KUN02-EX;B20KUN02-G1;B20KUN02DU;B20KUN10;B20KUN12;B20LÅN50;B20MAS03
;B20MAS14;B20MC17;B20MC18;B20MC31;B20NEMPU01;B20NETB02;B20OMLÆG02;B20OMLÆG03;B20OMLÆG03DU;B20OMLÆG03GL;B20OPL01
;B20OPRET06EVA;B20OPRET09;B20OPRET10;B20OPRET11;B20OPRET15GL;B20OVE51;B20OVER03;B20PANT03;B20PANT05;B20PANT10;B20PANT10GL
;B20PBS03;B20PEN01;B20PEN02;B20PEN20;B20PEN40;B20PEN45;B20PEN50;B20PEN60;B20PEN60KOPI1;B20PEN60KOPI2;B20PEN65
;B20PENAV;B20PENS02GL;B20PENS06;B20PENS06EVA;B20PENS12;B20PENS13;B20PENS14;B20PENS14EVA;B20PENS15;B20PENS16;B20PENS17
;B20PENS18;B20PENS18DU;B20PENS18GL;B20PENS20GL;B20PENS20GLGL;B20PULJE05;B20PULJE05GL;B20RAT07GL;B20SAM10;B20SEFO52;B20SELV01
;B20SELV04;B20SIK01;B20SIK50;B20SKADE04B;B20SMS01;B20SOP14GL;B20SOP20;B20SPAR01;B20SWIPE01;B20SWIPE02;B20TING05
;B20TRÆK50;B20UDD01;B20UDL20;B20UDLÆND01;B20UDLÆND02;B20UNSKR50;B20UPANT01A;B20UPANT01G;B20VDKRÅD01D;B20VDKRÅD06D;B20WEB01
;B20WEB01EVA;B20WEB02;B20WEB05;B20WEB06;B20WEB08;B20WEB22;B20WEB50;B20WEB51;B20WEB81;B20WEB90;B20WEB91
;B20ØB01;B20ØB02;B20ØB03;B25BOL51;B25BV03;B25EGNERKLER01;B25KORT04;B25KORT18;B25KORT18D;B25KORT18D54;B25KORT30
;B25KORT31;B25KORT32;B25KORT33;B25KORT54;B25KUN01;B25KUN01-G;B25KUN02;B25KUN02-G;B25KUN02-G1;B25KUN02DU;B25KUN02DU-G
;B25PEN55DU;B25VDKRÅD07;B25VDKRÅD07-G;B25VKRÅD07;B25WEB01;B25WEB01-Z;B25WEB03;B25WEB03-KOPI;B25WEB06;B25WEB06-KOPI;B25WEB50
;B25WEB51;B25WEB81;B25WEB81-TEST;B25WEBBIL01;B25WEBEBIL01;B26AFT01;B26ALLKRE01;B26ALLKRE01A;B26ALLKRE02;B26ALLKRE02A;B26ALLKRE03
;B26ALM01;B26ALM02;B26ALM03;B26ALMFORBET;B26ALMFORKON;B26ALMFORVAL;B26ANMPRI;B26APF03;B26APF07;B26BECDEP01;B26BECDEP01M
;B26BECEJERP01B;B26BECFØL11;B26BECFØL12;B26BECFØL13;B26BECFØL14;B26BECKORT04;B26BECKORT54;B26BECOVE01;B26BECSOL01;B26BECTING03;B26BECTING03GL
;B26BEGSAM;B26BETINVA;B26BETINVB;B26BETINVG;B26BETINVO;B26BOKDGN;B26BOL51;B26DEP01;B26DEP02C;B26DEPBES;B26DEPFOR
;B26DFIAFT;B26DIRPANT01;B26EBOKS01;B26EDAN01;B26ELTING01A;B26ENDOSS;B26ENGFORSP01;B26ENGFORSP02;B26ERKLOPG;B26ERKLTYS;B26FULDDEP01
;B26FULDHUS01;B26FULDKTO01;B26GARHUS;B26GARHUS01;B26GARHUS01D;B26GARNY;B26GARNYB;B26GARNYE;B26GAVEKON;B26KBKT01;B26KBKT02
;B26KBKT03;B26KBKT04;B26KORT02;B26KORT04;B26KORT05;B26KORT18;B26KORT18D;B26KORT30;B26KORT31;B26KORT32;B26KORT33
;B26KORT54;B26KREDIT51;B26KREDOPL01;B26KUN01;B26KUN02;B26KUN02A;B26LAANKRE01;B26LÅN14;B26MKE01;B26MORT01;B26MØDEBR01
;B26MØDEBR02;B26NOTA50;B26OPS52;B26OPS52Z;B26OVE01;B26OVE51;B26OVFOVTREN;B26PAA13;B26PAA13A;B26PANTFRAFE01;B26PFASLET01
;B26RYK55;B26RYK57;B26RYK59;B26RYK59Z;B26SAMFRA02;B26SAMTYK01;B26SMS01;B26STJ04;B26STJ54;B26STJKORT18;B26STJKORT30
;B26STJKORT31;B26STJKORT32;B26STJKORT33;B26STJRÅD02;B26STJRÅD03;B26STJRÅD04;B26STJRÅD07;B26STJWEB81;B26SÆRLINDL58;B26TING03;B26TLF01
;B26TRAHÅN01;B26UDD51;B26UNOTA50;B26VBS643B01;B26VBS643FB01;B26VDKRÅD02;B26VDKRÅD03;B26VDKRÅD04;B26VDKRÅD07;B26WEB01;B26WEB02
;B26WEB03;B26WEB06;B26WEB20;B26WEB50;B26WEB50TEST;B26WEB51;B26WEB81;B26ÅBNBLK01;B26ÅBNBLK05;B28142KB01;B28AKP2013B01
;B28AKP2013B02;B28AKT2013B01;B28AKTB2013B01;B28AKTI2013B01;B28ALD04-DU;B28ARBGB02;B28ASIAT01;B28ASIATP01;B28BOLIGKTB01;B28BOLIGOPSB02;B28BSVFB01
;B28BUDGB01;B28CSOPG07;B28DEP01;B28DEP01GL;B28DEP02C;B28DEP02CD;B28DEPOTTEST;B28DMSEB02;B28DMSEB03;B28DMSEB03DIGI;B28DMSEB04
;B28DMSEB04DIGI;B28DPPOAB01;B28DØGNB01;B28DØGNB02;B28EPTBKRFB01;B28ERH01;B28ERH04;B28FAST11B01;B28FAST11PB01;B28FMLSB01;B28GARB01
;B28GARB01T;B28GARKB01;B28GENFOB01;B28GÆDØB01;B28HØKTB01;B28INKSB01;B28INKSB02;B28KAERB01;B28KAP04-DU;B28KAP05-DU;B28KAUTB01
;B28KAUTB02;B28KINDB01;B28KORT04;B28KORT18D;B28KORT30;B28KORT31;B28KORT32;B28KORT33;B28KORT54;B28KORT54Z;B28KTREGL01
;B28KTREGL01-Z;B28KTREGL02-Z;B28KTREGL03-Z;B28KUN01;B28KUN01NY;B28KUN02DU;B28LANDRÅB01;B28LANDRÅB01K;B28LANDRÅPB01;B28LØNSB02;B28MEDOBB01
;B28MKJOPG010;B28MKJOPG011;B28MKJOPG07;B28MKJOPG08;B28NYWEB01TEST;B28OFEPB01;B28OVÆRB01;B28PTBB01;B28PTBB01KOPI;B28PTBB02;B28PTBB03
;B28PÅTGB50;B28RAT17-DU;B28REFEB01;B28REMBB01;B28REMBB02;B28SALFASTB01;B28SALFASTPB01;B28SALMAK13B01;B28SALMAK14B01;B28SF2012B01;B28SF2013B01
;B28SKUDB01;B28SMS01;B28SMS01K;B28SWIPEB01;B28TBTEB01;B28TBTEB01TEST;B28TESTEJERP;B28TESTWEB02;B28TFAFB02;B28TFAFB03;B28TOFFB01
;B28UDDOPSB01;B28UDSBB01;B28USDCHFB01;B28USDCHFPB01;B28VALUKKB1;B28VSOPG07;B28VSOPG08;B28VSUOPG08;B28WEB01;B28WEB01GL;B28WEB01NY
;B28WEB02;B28WEB03;B28WEB03GL;B28WEB06;B28WEB06GL;B28WEB50;B28WEB80GL;B28WEB81;B28WEB81GL;B28WEB81NY;B28WEBB03
;B28WEBB06-Z;B28ØK61B01;B28ØK61B02;B29AKA;B29AKAX;B29AKP;B29AKP02;B29AKPX;B29ANBOX;B29ANDEX;B29ANDEZ
;B29ANM;B29ARP;B29ARPX;B29AWTBIC;B29AWTBILA;B29AWTLKC;B29AWTLKF;B29AWTLÅN90;B29AWTOPG07;B29AWTOPG08;B29AWTOPG10
;B29AWTTING;B29AWTTING01;B29AWTUOPG08;B29BILA;B29BOLA;B29BOLB;B29BOLC;B29BS01;B29EJERPX;B29EJERPZ;B29EKORT01D1
;B29EKORT01XD1;B29ER1;B29ER11;B29ER2;B29FUL;B29FØ1;B29FØ2;B29FØ3;B29FØ4;B29GLTING01;B29HNOU
;B29HNOU3;B29HNOU3A;B29HNOU3B;B29KAP10;B29KAP10A;B29KAP30B;B29KAP31;B29KAPX30;B29KORT18;B29KORT18GEM;B29KORT54
;B29KTBEST01;B29KTFSIK02;B29KTFSIK03;B29KTFSIK04;B29KUN01;B29KUN02;B29LKC;B29LKF;B29LÅN90;B29NYWEB01;B29OLDFØ1
;B29OLDFØ2;B29OLDFØ3;B29OLDFØ4;B29OLDLKF;B29OLDLÅN90;B29OPG3A;B29OVE01;B29RAT60;B29RAT61;B29TING;B29TING01
;B29UKUKD;B29VISE;B29VIT;B29WEB02X;B29WEB05-GL;B29WEB50;B29WEB50A;B29WEB50B;B29WEB50GL;B29WEB50X;B29WEB50XX
;B29WEB50XXX;B29XTING;B30AND01;B30AND02;B30BECAKTI01;B30BEVILPRAK;B30BEVILPRAKCPR;B30BIL01;B30BIL02;B30BOL01;B30BOL02
;B30BOL03;B30BOL03D;B30BOL06;B30BREV01;B30BREV01X;B30BREV02;B30BREV03;B30BØRN05;B30BØRN06;B30BØRN07;B30BØRN08
;B30BØRN09;B30BØRN10;B30BØRN11;B30BØRN112;B30BØRN112D;B30BØRN11D;B30BØRN12;B30BØRN12D;B30BØRN13;B30BØRN13D;B30BØRN14
;B30BØRN14KUN01TD;B30BØRN14X;B30BØRN15;B30BØRN16;B30BØRNEOPSK;B30BØRNRYK;B30DRIFTS01;B30ETA01;B30ETA01DU;B30ETABANDEL;B30ETABBOLIG
;B30ETABBOLIGK;B30ETABGAR;B30FREMBIL;B30FVÆR81D;B30FÆL01;B30FÆL02;B30FÆL03;B30FÆL03N;B30FÆL03Z;B30FÆL04;B30FÆL04N
;B30FÆL05;B30FÆL06;B30FÆL07;B30FÆL08;B30FÆL09;B30FÆL09D;B30FÆL10;B30FÆL10D;B30FÆL11;B30FÆL11X;B30FÆL13
;B30FÆL14;B30FÆL23;B30FÆL24;B30FÆL33;B30FÆL34;B30FÆL34X;B30FÆL34Z;B30FÆL43;B30FÆL44;B30FÆL53;B30FØLG01
;B30FØLG01X;B30FØLG01Z;B30FØLG02;B30FØLG03;B30FØLG04;B30FØLG10;B30GAR07;B30GAR13;B30GAR23;B30HOME01;B30HOME01D
;B30HOME01DA;B30HOME03;B30HOME04;B30HOME06;B30HOME06D;B30HOME07;B30HOME08;B30HOME09;B30HOME10;B30HOME10X;B30HØJ01
;B30HØJ01X;B30HØJ02;B30HØJ03;B30HØJ04;B30HØJ05;B30HØJ05D;B30HØJ05DD;B30HØJ06;B30HØJ06X;B30HØJ07;B30HØJ07KUN01D
;B30HØJKONTO;B30HØJKONTOC;B30IND01;B30IND02;B30IND03;B30IND03D;B30IND03X;B30IND65;B30IND67;B30INDEKS;B30INDEKS65
;B30INDEKSOML;B30INDSKGAR;B30INDSKGARDU;B30INDSKGARX;B30INDSKGARXX;B30INDSKGARY;B30IVÆRK01;B30IVÆRK01DU;B30JS01;B30JS02;B30KAP01
;B30KAP04;B30KAP10-GL;B30KAP20-GL;B30KAP30;B30KAPITALTILK;B30KORT04;B30KORT04-MIDL;B30KORT10;B30KORT80;B30KRE01;B30KRE02
;B30KRE02X;B30KRE03;B30KRE04;B30KRE05;B30KRE06;B30KRE07;B30KRED07;B30KREDIT;B30KREDIT200;B30KREDIT75;B30KTBEST01
;B30KTO01;B30KUN01;B30KUN01D;B30KUN01DU;B30KUN01KOPI;B30KUN02;B30KUN02-Z;B30KUN02D;B30KUN02DU;B30KUN02DUX;B30KUN03
;B30KUN04;B30KUN04D;B30KUN05;B30KUN06;B30KUN07;B30KUN08;B30KUN09;B30KUN09X;B30KUN10;B30KUN103270;B30KUN10X
;B30KUN11;B30KUN12;B30KUN12D;B30KUN12DA;B30KUN12DB;B30KUN13;B30KUN14D;B30KUN15;B30KUN15D;B30KUN15DU;B30KUN15DUY
;B30KUN15X;B30KUN15Y;B30KUN15Z;B30KUN16;B30KUNDPRIV;B30LL2OPG3A;B30LÅN11;B30LÅN12;B30LÅN16;B30LÅN17;B30LÅN18
;B30LÅN90;B30MAIL01;B30MAT01;B30MAT02;B30MAT03;B30MAT04;B30MAT05;B30MAT06;B30MAT07;B30MULT30;B30NYBS01
;B30NYKREVISA;B30NYSKA05;B30NYWEB05;B30OVE01;B30OVE51;B30OVF01;B30OVF01X;B30OVF02;B30OVF03;B30OVFUDL;B30PAR01
;B30PBREV01;B30PBREV01-NY;B30PBREV01N;B30PBREV02;B30PBREV03;B30PBREV04;B30PBREV05;B30PBREV06;B30PBREV06X;B30PBREV06Z;B30PBS01
;B30PBS01LKT;B30PBS01LKTD;B30PBS01LKU;B30PBS01LÅ2;B30PBS01LÅ2D;B30PBS01REN;B30PBS01REND;B30PBS02;B30PBS03;B30PBS03D;B30PEN01
;B30PEN02;B30PEN20;B30PEN40;B30PEN45;B30PEN55;B30PEN60;B30PEN65;B30PENS01;B30PENS02;B30PENS03;B30PENS04
;B30PENS04K;B30PENS05;B30PENS05X;B30PENS06;B30PENS07;B30PENS08;B30PENS09;B30PENS10;B30PENS11;B30PENS12;B30PENS13
;B30PENS14;B30PENS15;B30PENS16;B30PENS20;B30PENS20D;B30PENS21;B30PENS21D;B30PENS31;B30PENS32;B30PENS33;B30PRAK01
;B30PRAK02;B30PRAK03;B30PRAK04;B30PRAK04D;B30PRAK05;B30PRAK05D;B30PRAK06;B30PRAK07;B30PRAK07D;B30PRAK08;B30PRAK10
;B30PRAK11;B30PRAK11D;B30PRAK12;B30PRAK12D;B30PRAK13;B30PRAK13D;B30PRAK14;B30PRAK14D;B30PRAK15;B30PRAK15D;B30PRAK16
;B30PRAK16X;B30PRAK17;B30PRAK18;B30PRAK19;B30PULBEKR;B30RAT01;B30RAT02;B30RAT02-GL;B30RAT03;B30RAT04;B30RAT05
;B30RAT05-GL;B30RAT05DEPOT;B30RAT14;B30RAT14-GL;B30RAT15-GL;B30RAT15X;B30RAT15XX;B30RAT40GL;B30RAT50GL;B30RAT60;B30RAT60GL
;B30RATEARBK;B30RATEARBTILK;B30RATEPENS55K;B30RATEPENSIONK;B30RATEPENSTILK;B30RATEPULJEK;B30REALKRE;B30REALKRE1;B30REALKRENY;B30REGN01;B30REGN02
;B30RKROPG07;B30RKROPG08;B30RYK500;B30SKA04;B30SKA05;B30SOL01;B30STUD;B30SUPVIL;B30TILL50;B30TING03;B30TING04
;B30TLF01;B30TLFJS;B30VELK01;B30VELK02;B30VELK03;B30VELK04;B30WEB02;B30WEB05;B30WEB10;B30WEB30;B30WEB50
;B30WEB50-1;B30WEB50KOPI;B30WEB50TEST;B30WEB81;B30WEBJS;B32BESKYTKTO;B32BETKU01;B32BETO01;B32BOLI01;B32BØR51;B32BØR53
;B32DEP02A;B32DEPA01;B32EBOKS;B32EJERP01A;B32EJERP01B;B32EJERP02A;B32EJERP02B;B32EJERP03A;B32EJERP03B;B32EJERP04B;B32EKAU50
;B32EKAU51;B32ELTING01E;B32ELTING01F;B32EOP01-G1;B32EOP01-T;B32ETAB51;B32FUL51;B32FUL52;B32FØL51;B32FØL52;B32FØL53
;B32GAR13;B32HÅND50;B32HÅND53;B32KAP10;B32KAP20;B32KAU50;B32KAU51;B32KOPL50;B32KRED50;B32KRED50-G1;B32KRED50-G2
;B32KUN01-T;B32KUN02;B32KUN03;B32LÅN50;B32LÅN50-G1;B32MCKORT;B32MEDAR01;B32MEDKTO;B32MILL51;B32OVE51-T;B32PBEKON
;B32PBEKON1;B32PBKON;B32PEN01;B32PEN40;B32PEN45;B32PRWEB01;B32RAT03;B32RAT15;B32RAT40;B32RAT50;B32RAT60
;B32RYK001;B32RYK002;B32RYK003;B32RYK004;B32RYK006;B32RYK012;B32RYK013;B32RYK014;B32RYK164;B32RYK164-G1;B32RYK165
;B32RYK165-G1;B32SEPAKRED;B32SIKFUL02;B32SKADE03B;B32SKADE04A;B32SKADE04B;B32SKADE05A;B32SKADE05B;B32SMS01;B32SWIPE01;B32TILPBS01
;B32UNSKR50;B32UPANT01A;B32UPANT01F;B32UPANT01G;B32VÆRGE;B32WEB01-G;B32WEB05;B32WEBUNG01;B32WEBUNG02;B33AFTB01Z;B33AFTB02
;B33AFTB02Z;B33AFTB03;B33ALM02;B33ALM02X;B33ALM03;B33ALM03X;B33ALM04;B33ALM04X;B33BS02;B33BSB02;B33EUROCHB01
;B33EUROCHB02;B33KREDKONB01;B33KREDKONB01Z;B33RJRTP01A;B33SELVPENB01;B33SELVPENB01Z;B33SPECIALB01;B33SPECIALB01Z;B33SPECIALB02;B33SPECIALB02Z;B33UDDANB01
;B33UDDANB03;B33UDDANB04;B33UDDANB05;B33UDLCHB02;B33UDLCHB03;B33UDLCHB04;B33UDLCHB04Z;B35142KD01;B35BOLIGOPSD01;B35FØLGEBECB01;B35FØLGEBECB02
;B35FØLGECHB01;B35FØLGEIRB01;B35FØLGEKTOB01;B35FØLGEKUNB01;B35FØLGEMANB01;B35FØLGEPBSB01;B35FØLGEREGB01;B35INCASSOB03;B35INDEKSB01;B35IRMAOPG2;B35KAUTIOND01
;B35OVERFB02;B35PTBD01;B35PTBD02;B35SELVPENSD01;B35UDDOPSD01;B35UDLB01;B3710260PULJ11;B3710260PULJ11DU;B3710260PULJ11G;B3710260PULJ11NY;B3710260PULJ12
;B3710260PULJ12DU;B3710260PULJ12G;B3710260PULJ13;B3710260PULJ14;B3710260PULJ14DU;B3710340PREM02K;B3710390AFCE01K;B3710390AFCE02K;B3710450UDTO01;B3712320SPEN02K;B3712320SPEN02KF
;B3712320SPEN02KU;B3712320SPEN02X;B3712420KAP01;B3712420KAP01GL;B3712420KAP04GL;B3712480RAT01;B3712480RAT01GL;B3712480RAT01X;B3712480RAT01XGL;B3712480RAT02;B3712542PULJ01
;B3712542PULJ01DU;B3712542PULJ01F;B3712542PULJ01FU;B3712542PULJ01G;B3712542PULJ01NX;B3712542PULJ01NY;B3712542PULJ02;B3712542PULJ02DU;B3712542PULJ02G;B3712542PULJ03;B3712542PULJ04
;B3712542PULJ04A;B3712542PULJ04AU;B3718030FORS01;B3718031FORS01;B3718032FORS01;B3718033FORS01;B3718034FORS01;B3718034FORS01A;B3718034FORS01G;B3718034FORS02A;B3718035FORS01
;B3718035FORS01G3;B3718036FORS01;B3718036FORS01G3;B3718037FORS01;B3718040FORS02;B3718041FORS02;B3718042FORS02;B3718043FORS02;B3718044FORS02;B3718044FORS02A;B3718044FORS02G
;B3718045FORS02;B3718045FORS02G3;B3718046FORS02;B3718047FORS02;B3718047FORS02G3;B3718048FORS02;B3718049FORS02;B3718049FORS12;B3718050FORS03;B3718051FORS03;B3718052FORS03
;B3718053FORS03;B3718054FORS03;B3718054FORS03A;B3718054FORS03G;B3718055FORS03;B3718055FORS03G;B3718055FORS03G3;B3718056FORS03;B3720460NSPA01K;B3720461NSPA01K;B3720462NSPA01K
;B3720470FAFO01K;B3720470FAFO01KG;B3720470FAFO11K;B3720470FAFO11KG;B3720471FAFO11K;B3730320DKER02K;B3731008WEB01;B3734020TLFP02;B3736230ERPR01;B3750220OVE01;B3750230SOL01R
;B3753031TING03;B3753032TING03;B3755420BS01GL;B3755420BS01GL1;B3755420BS02;B3755420BS02NY;B3756010DEP01;B3756010DEP011;B3756010DEP01GL1;B3756010DEP01GL2;B3756011DEP01
;B3756011DEP011;B3756011DEP011G5;B3756011DEP01G7;B3756011DEP01GL;B3756011DEP01GL1;B3756011DEP01GL5;B3756011DEP01X;B3757810BØHA01;B3757810BØHA01G1;B3757810BØHA01GL;B3757810BØHA03
;B3757810BØHA03GL;B3757810BØHA04;B3757810BØHA04GL;B3757810BØHA05;B3757810BØHA05GL;B3757810BØHV04;B3758010PMOA01;B3780180RMAD01;B37AKIO01;B37AKIO01M;B37AKIO05
;B37AKIO05M;B37ALD09;B37ALD09-DU;B37ALM01;B37ALM01DN1;B37ALM01DN2;B37ALM01EHVNY;B37ALM01NY1;B37ALM01Y;B37ALM03;B37ALM03GL504
;B37ALM03Y;B37ALM03YNY;B37ALM50;B37ALM50G1010;B37ALM50G106;B37ALM50G1206;B37ALM50G1206X;B37ALM50G1208;B37ALM50G1310;B37ALM50GL;B37ALM50GL12
;B37ALM50NYGL12;B37ALM50X;B37ALM50XY;B37ALMAE01;B37ALMAE01D;B37ALMAE01DG911;B37ALMAE01GL;B37ALMAE01GL1;B37ALMAE01GL911;B37ALMAE01NY;B37ALMAP01
;B37ALMAP01D;B37ALMAP01D1;B37ALMAP01DGL911;B37ALMAP01GL;B37ALMAP01GL1;B37ALMAP01GL910;B37ALMAP01NY;B37ALMAP02D1;B37BECAKTI01;B37BHFI01;B37BHFI01CD
;B37BOX01;B37BOX01ADRNR;B37BOX01GL506;B37BOX02;B37BS01;B37BS01D1X404;B37BS01GL1106;B37BS01GL603;B37BS01GL911;B37BS02;B37BS03
;B37BS03TEST;B37BS11;B37BS1116;B37BS51;B37BØHA03D1;B37BØHA03D2;B37BØHA04D1;B37BØHA04D2;B37BØHA04D3;B37BØHA05NY10805;B37BØHV04D2
;B37BØHV04D3;B37BØHV04D3N;B37BØHV04N;B37BØHV04N1;B37CONN01ANY;B37CONN01NY;B37CONN02NY;B37DEP01;B37DEP01BESTX;B37DEP01GL1010;B37DEP01GL1106
;B37DEP01PROVE;B37DEP02;B37DEP02A;B37DEP02AGL1201;B37DEP02AGL137;B37DEP02ANY;B37DEP02ANY1;B37DEP02ANYX;B37DEP02AX;B37DEP02C;B37DEP02CD
;B37DEP02CGL1106;B37DEP02CGL1201;B37DEP02CGL137;B37DEP1;B37DIPANT01A;B37DIPANT01F;B37EALM03;B37EALM03TST;B37EALM50;B37EBBR01A;B37EBBR01B
;B37EFAST03;B37EFAST05;B37EFAST50;B37EFAST50G1011;B37EFAST50G131;B37EFAST50NY;B37EJERP03BG1103;B37EKAU50GL1609;B37EKAU50X;B37EKAU51;B37EKAU51X
;B37ELTING01A;B37ELTING01AG104;B37ELTING01AG911;B37ELTING01E;B37ELTING01EGL11;B37ELTING01F;B37ENKTK01;B37ERH021002;B37FAST01GL;B37FAST03GL;B37FAST03GLX
;B37FAST05;B37FAST05N;B37FAST50;B37FAST50GL1011;B37FAST50GL12;B37FAST50NY10;B37FAST50NY11;B37FORSB01;B37FORSBETI01;B37GAR01;B37GAR02
;B37GAR03;B37GAR04;B37GAR12;B37GAR13;B37GAR14;B37GAR15;B37GAR16;B37GAR17;B37GAR18;B37GAR19;B37HÅND01
;B37HÅND01Y;B37HÅND04;B37HÅND04Y;B37HÅND50;B37HÅND50SP1;B37HÅND50TEST;B37HÅND50X;B37HÅND53;B37INDVPR;B37INIUOPG08;B37INRI01
;B37JSOPG07;B37JSOPG08;B37JSOPG10;B37KAP09;B37KAP09-DU;B37KAU03;B37KAU50;B37KAU50G104;B37KAU50GL;B37KAU50X;B37KAU50X1
;B37KAU51;B37KONOPR01;B37KONVWEB01;B37KOPL50;B37KOPL50G104;B37KOPL50GL1112;B37KORT04BECTST;B37KORT12D1;B37KORT12D2;B37KORT18;B37KORT18D
;B37KORT18D1102;B37KORT18DKOP;B37KORT18NY;B37KORT28D1;B37KORT28D2;B37KORT31;B37KORT31GL1009;B37KORT31GL1106;B37KORT31GL810;B37KORT31GL910;B37KORT32
;B37KORT32GL1009;B37KORT32GL810;B37KORT32GL910;B37KORT54;B37KORT54GL910;B37KORT54MNY;B37KORTMIS01;B37KRED01;B37KRED02;B37KRED02GL501;B37KRED07
;B37KRED50;B37KRED50G1010;B37KRED50G1204;B37KRED50G131;B37KRED50GL12;B37KRED50GL1206;B37KRED50GL1609;B37KRED50NY;B37KRED50NY11;B37KRED50X;B37KTBEST01
;B37KTBEST01G1308;B37KTBEST01NY;B37KTO01;B37KTREGL01DANK;B37KTREGL02VISA;B37KTREGL03;B37KUN01;B37KUN01GL;B37KUN01GL1501;B37KUN01M;B37KUN01MGL1301
;B37KUN02;B37KUN02-G1;B37KUN02DU;B37LOBBR01;B37LÅN11;B37LÅN12;B37LÅN12GL;B37LÅN15;B37LÅN15NYT;B37LÅN15PRV;B37LÅN17
;B37LÅN17TST;B37LÅN18;B37LÅN50;B37LÅN50G104;B37LÅN50G105;B37LÅN50G1204;B37LÅN50G1206A;B37LÅN50G15;B37LÅN50G159;B37LÅN50GL12;B37LÅN50NY
;B37LÅN50NY1;B37LÅN50X;B37LÅN91;B37LÅN93;B37LØN11GL307;B37LØN11K;B37LØN11MB;B37LØN13404;B37MAIO01;B37MAIO01M;B37MAPH01
;B37MAPH01GL;B37MAPH02;B37MAPH02GL;B37MAPH02GL809;B37MAPH02PARK;B37NYWEB01;B37OVE01;B37OVE51;B37OVEF01;B37PANTH02;B37PEN45
