;;;;;;;;;;;
;B93TINGLY2;B93TINGLYS3;B93TOTAL60Z;B93TOTAL60ÅR;B93TOTAL67Z;B93TOTAL67ÅR;B93TOTALINDBY;B93TOTALINDBYD;B93TOTALTILBUDZ;B93TOTSALGZ;B93TRANS01
;B93TRANS01Æ;B93TRY0609;B93UDBERS;B93UDBKRD;B93UDBPEN;B93UDBTKLÅN;B93UDLLÅNREKV;B93UDTRAEK;B93VALRAM;B93VALRAMBEST;B93VISAB1Z
;B93VISAB2Z;B93VISAELBE;B93VISASALG;B93WEB50;B93WEB50GL;B93WEB50NY;B93WEB80ÆLDREKOP;B9DEPONERE;BECKVIT01;BECKVIT02;
;;;;;;;;;;;
.IN (NUMBER) nobreak ;B93BEKRÆFTELSE1Z;;;;;;;;;;
;;;;;;;;;;;
.IN (SIZE) ;B20GAR05;B20GAR06;B20PULJE05;B20PULJE05GL;B20SOP02;B20SOP04;B26BECGAR05;B26BECGAR06;B28DEMDB01;B28FOREB01;B28KREDITFB02
;B28KREDITFB02GL;B28KREDITSB02;B28MONTB01;B3710350VERK01K;B3720205IKLK01K;B3720206IKLK01;B3731020WEBP02;B3750240REVO01;B3750240REVO02;B3750240REVO03;B37GAR05
;B37GAR06;B37WEB01GL1100;B37WEB05GL;B41GAR06;BECGAR05;BECGAR06;G08GAR05;G08GAR05-1;G08GAR06;G08GAR06-1;J60GAR06
;J65GAR06;J75GAR06;J76GAR06;J77GAR06;;;;;;;
;;;;;;;;;;;
.IN (SIZE) NOBREAK ;B20PULJE05;B20PULJE05GL;;;;;;;;;
;;;;;;;;;;;
.IN +10 ;B37KORKUNB01K;B37KORKUNB02K;B37KORKUNB03K;;;;;;;;
;;;;;;;;;;;
.IN +20 ;B3750240REVO01;B3750240REVO02;B3750240REVO03;;;;;;;;
;;;;;;;;;;;
.IN +5mm ;B3712340PENS10;B3712340PENS10M;B3712340PENS15;B3712340PENS15M;;;;;;;
;;;;;;;;;;;
.IN -10 ;B37KORKUNB01K;B37KORKUNB02K;B37KORKUNB03K;;;;;;;;
;;;;;;;;;;;
.IN -20 ;B3750240REVO01;B3750240REVO02;B3750240REVO03;;;;;;;;
;;;;;;;;;;;
.IN -5MM ;BECKVIT02;;;;;;;;;;
;;;;;;;;;;;
.IN -5mm ;B3712340PENS10;B3712340PENS10M;B3712340PENS15;B3712340PENS15M;;;;;;;
;;;;;;;;;;;
.IN ;B20GAR05;B20GAR06;B20PULJE05;B20PULJE05GL;B20SOP02;B20SOP04;B26BECGAR05;B26BECGAR06;B37GAR05;B37GAR06;B41GAR06
;BECGAR05;BECGAR06;G08GAR05;G08GAR05-1;G08GAR06;G08GAR06-1;J60GAR06;J65GAR06;J75GAR06;J76GAR06;J77GAR06
;;;;;;;;;;;
;;;;;;;;;;;
.INDVTXT ;B3751011INDK01;B3751011INDK01K;B3751011INDK01M;B3751011INDK01R;B3751012INDK01;B3751012INDK01K;B3751012INDK01M;B3751012INDK01R;B3751013INDK01;B3751013INDK01K;B3751013INDK01M
;B3751013INDK01R;;;;;;;;;;
;;;;;;;;;;;
.INVB3SL.* ;B3718034FORS02A;B3718035FORS01;B3718036FORS01;B3718055FORS03;B3718056FORS03;;;;;;
;;;;;;;;;;;
.in (NUMBER) ;B01WEB01;B01WEB01-G;B01WEB80;B01WEB80-G1;B01WEB80-T;B04AFSGRL;B04AKIINFO;B04AKILIUT;B04AKRYK;B04AKTIE;B04BBS01
;B04BECAKTI01;B04BOV;B04BUSF;B04CHECK3;B04CHECK4;B04DEBIT01;B04DEPO01;B04ELEC01;B04EUSF;B04FLEX01X;B04FLEX03X
;B04GAR01;B04GAR02;B04KORT01;B04KORT02;B04KORT02X;B04KORT06;B04KORT07;B04KORT10;B04KORT4B;B04KORT5B;B04KTO200
;B04KTO200X;B04KTOFRI;B04LOYALITET;B04NANOQSLET;B04OPS;B04PC01;B04REC;B04SALG01;B04SALG02;B04SKABELON;B04SKAKONTO
;B04SKAKUNDE;B04SLETKORT;B04SOL01;B04SOL10;B04SUPER01;B04TDS01;B04U18;B04U18A;B04U21;B04UDLTIL01;B04UWEB01
;B04WEB01;B04WEB80;B19BODELB1;B19DOKB1;B19KORT52;B19PDFWEB01;B19PDFWEB01F;B19PDFWEB80;B19SOLFSPGB1;B19VDKSPB1;B19WEB01
;B19WEB01F;B19WEB80;B20BOET05;B20BYG01;B20BYG01GL;B20HÅND53;B20KORT02;B20KORT52;B20OPL01;B20WEB01;B20WEB01EVA
;B20WEB80;B20WEB80EVA;B20WEB90;B25WEB01;B25WEB01-Z;B25WEB80;B25WEB80-Z;B26BECKORT02;B26BECOVE01;B26BECSOL01;B26BOKDGN
;B26FLGBRB02;B26FLGBRB10;B26FLGBRV1K;B26STJWEB80;B26WEB50;B26WEB50TEST;B26WEB80;B28EPTBKRFB01;B28KORT02;B28KORT52;B28NYWEB01TEST
;B28PTBB01;B28PTBB01KOPI;B28PTBB02;B28PTBB03;B28RYPBB01;B28SFGBB01;B28WEB01;B28WEB01GL;B28WEB01NY;B28WEB80;B28WEB80GL
;B29ER1;B29ER11;B29MAT;B29MAT1;B29MAT2;B29MAT3;B29MAT4;B29MATA;B29MATY;B29OLDMAT;B29OLDMAT1
;B29SP2;B29WEB80;B29WEB80-Z;B29WEB80_OLD;B30BERBEGGEN;B30BERBEGOML;B30BEREGNBEGGE;B30BEREGNBEGGEN;B30BEREGNKAP;B30BEREGNKAPN;B30BEREGNRATE
;B30BEREGNRATEN;B30BERRATEN;B30BERRATEOML;B30BILMAT;B30FULDMAGT;B30IND65;B30IND67;B30INDEKS;B30INDEKS65;B30INDEKSOML;B30INETKRE
;B30INETMGL;B30INETVISA;B30KAPOGRATE;B30KAPOGRATEN;B30KOGRATEN;B30KOGROML;B30KORT02;B30MATBILCPR;B30OVE01;B30SOL01;B30TILL02
;B30WEB80;B30WEB80_OLD;B33AFTB01;B33BABYB01Z;B33BOGBORTB01;B33BOGBORTB02;B33CHECKB01;B33CHECKB02;B33CHECKB03;B33CHECKB04;B33DANKORTB01
;B33FODB03;B33FORBAGRTB01;B33FULDB01;B33FULDB01Z;B33KORTB02;B33KRFOVERB01;B33LAANEANB01;B33MLRGB03;B33NOKUDB01Z;B33OFFB02;B33OPFB01Z
;B33PCSERVB01;B33PENB01;B33PENB01Z;B33PENB02;B33PENB03;B33PENB04;B33PENB05;B33PENB06;B33PENBREVB01;B33PENSLAANB01;B33PFAB02
;B33PFAB04;B33RYK1B01;B33RYK1B02;B33RYKB01;B33RYKDIVB01;B33RYKDIVB02;B33RYKGEBYRB01;B33SPARRENTEB01;B33SPECIALB03;B33SPECIALB04;B33TLFGIROB01
;B33TOTALB05;B33TOTALB08;B33UDDANB01;B33UDLCHB01;B33VELKOMB01Z;B33VELKOMB02;B33VELKOMB02Z;B33VELKOMB05;B33VISADANB01;B33VISADANB02;B35FØLGEF2
;B35INDEKSB01;B35JULB01;B35PEN96B02;B35PEN96B03;B35PEN97B01;B35PEN97B02;B35PEN97B04;B35PEN97B05;B35PTBD01;B35PTBD02;B3720460NSPA01K
;B3720461NSPA01K;B3720462NSPA01K;B3720470FAFO11K;B3720470FAFO11KG;B3720471FAFO11K;B3730330KORT02;B3730330KORT02GY;B3750230SOL01R;B3755420BS01GL1;B3780180RMAF01K;B37HÅND50SP1
;B37KORKOB03;B37KORKUNB01;B37KORKUNB02;B37KORKUNB03;B37KORKUNB04;B37OVEF01;B37WEB01GL1312;B37WEB01MAN;B37WEB80;B37WEB80G105;B37WEB80G1104
;B37WEB80GL11061;B37WEB80GL1302;B37WEB80GL1312;B37WEB80GL910;B37WEB80X;B37WEB80X1;B41WEB80;B41WEB80-Z;B48BOKDGN;B48KORT52;B48KORTUDSK
;B48STJWEB01;B48STJWEB80;B48WEB01;B48WEB01S;B48WEB80;B48WEB80S;B48WEB90;B51WEB01;B51WEB80;B51WEB80OLD;B52FORSTILB01
;B53WEB01;B53WEB80;B61RYK901;B62PENGEB01;B62TESTBREV;B62WEB01;B62WEB80;B66WEB80;B67BOKDGN;B67STJWEB80;B67WEB80
;B75BEOTB01;B75BEVOVTRB;B75BILBOGB01;B75BILBOGB02;B75BUDGETB01;B75BØB01;B75BØB02;B75BØB03;B75FORSIKB01;B75FORSIKB02;B75HÆVEKB01
;B75INDEXB01;B75KAUTB01;B75KORTB01;B75KRFB01;B75OVFB01;B75PÅMINDB;B75REGNB1;B75RYK1KRB1;B75RYK1ØVB;B75RYK2B1;B75RYK3B1
;B75RYKB01;B75RYKB02;B75RYKB1;B75RYKB2;B75RYKKAUB1;B75RYKUDLB1;B75TINGLB01;B75TINGLB02;B75TINGLB03;B75TINGLB04;B75TINGLB05
;B75UNGKTOB01;B75VDANKB01;B75VDANKB02;B79WEB80;B80BREV01;B80MENU1;B83FRITXTA02;B83GENFORH02;B83RYK100;B83RYK111;B83RYKA02
;B83RYKA04;B83RYKA111;B83RYKA222;B83SENDGB1;B87KORT02;B87WEB01;B87WEB80;B87WEB90;B90TILL02;B92PENS57COPY;B932012WEB801
;B93SOL010;B93VEJL01;B93WEB01Z;B93WEB06;B93WEB50GL;B93WEB51;B93WEB51GL;B93WEB70;B93WEB70BTD;B93WEB70BTDGL;B93WEB70GL
;B93WEB80;B93WEB80BTD;B93WEB80GL;B93WEB80JULI;B93WEB80UDG1114;B93WEB80ÆLDREKOP;B93WEBBIL01;B93WEBBIL011;B95BILB;B95BILB2;B95BILB3
;B95BMAFT1;B95BMAFT2;B95BMAFT3;B95BMAFT4;B95BMUDL5;B95BMUDL6;B95DIIN04;B95DIIN06;B95GENSOLBBK;B95KKOVERGEN;B95KKOVERGEN2
;B95RYKUB01X;B95TLFB1Q;B95WEB01;B95WEB01_NY;B95WEB80;B95WEB80_NY;B95WEB80_OLD;B95WEB85;B95WEB90;B95WEB90OPR;B95YDHENB4P
;B97PENSB01;B98FORVB01;B98FØLGEF1;B98FØLGEF2;B98FØLGEF3;B98FØLGEF5;B98ÅBN01;BECBOL01;BECKORT02;BECKORT52;BECSOL01
;BECUWEB01;BECWEB01;BECWEB70;BECWEB80;BECWEB90;C05WEB80;C07WEB80;C09WEB80;C15WEB80;C25WEB80;C28WEB80
;C29WEB80;C30WEB80;C31WEB80;C33WEB80;C39WEB01;C39WEB80;C42WEB80;C46WEB80;C52WEB80;C53WEB80;C58WEB80
;C59WEB80;C61WEB80;C68WEB80;C72WEB80;C74WEB80;C77WEB80;C79WEB80;C81WEB80;C83WEB80;C89WEB80;C95WEB80
;C96WEB80;DEMOBTB;DEMOSYS34;DEMSYS34;E38KORT52;E38WEB01;E38WEB80;E53SEB01Q;E53WEB01Q;E53WEB80;E53WEB80G
;E53WEB80N;E53WEB80NN;E69WEB80;E69WEB80-Z;E71RAMME;E71RAMMEZ;G08UWEB01;G08WEB01;G08WEB01FOR;G08WEB80;J26WEB01
;J26WEB80;J30WEB01;J30WEB01-J;J30WEB80;J30WEB90;J60WEB80;J88KORT52;J88WEB80;LASERPRINT;MALPANTTILBB01;NCTBECWEB80
;SBLKORT02;;;;;;;;;;
;;;;;;;;;;;
.in (NUMBER) after (NUMBER) ;B932012WEB801;B93WEB06;B93WEB50GL;B93WEB51;B93WEB70;B93WEB70BTD;B93WEB70BTDGL;B93WEB70GL;B93WEB80;B93WEB80BTD;B93WEB80GL
;B93WEB80JULI;B93WEB80UDG1114;B93WEBBIL01;B93WEBBIL011;;;;;;;
;;;;;;;;;;;
.in (NUMBER) mm ;B20WEB90;B52FORSTILB01;;;;;;;;;
;;;;;;;;;;;
